Case #1: 1
1 1 2
1 2 1
1 2 2
1 3 3
2 1 1
2 1 2
2 2 1
2 2 2
2 3 3
3 1 3
3 2 3
3 3 1
3 3 2
Case #81: 2
1 1 1
1 1 2
Case #82: 3
1 1 1
1 1 2
1 1 3
Case #83: 2
1 1 1
1 1 2
Case #84: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #85: 3
1 1 1
1 1 2
1 1 3
Case #86: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #87: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #88: 3
1 1 1
1 1 2
1 1 3
Case #89: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #90: 3
1 1 1
1 1 2
1 1 3
Case #91: 2
1 1 1
1 1 2
Case #92: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #93: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #94: 2
1 1 1
1 1 2
Case #95: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #96: 10
1 1 1
1 1 2
1 2 1
1 2 2
1 3 3
2 1 1
2 1 2
2 2 1
2 2 2
2 3 3
Case #97: 3
1 1 1
1 1 2
1 1 3
Case #98: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #99: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #100: 1
1 1 1
